"formAndId","item","decorated","target","distractor1","distractor2","distractor3"
"a-5-6-20","Some countries have been invaded by enemies many times because of their resources or location.","invaded","attacked ","found","controlled","protected"
"a-5-6-4","The scientist picked up the log and exposed the insects underneath it.  ","exposed","uncovered","scared","collected","angered"
"a-3-4-2","Race cars today have many safety features like strong frames and safety tools. ","features","parts","plans","uses","rides"
"a-3-4-9","People’s actions can help to prevent fires during their visits to parks.","prevent","stop","build","cause","control"
"b-5-6-4","The farmer adapted his truck to do different jobs around the farm.","adapted","adjusted","drove","cleaned","handled"
"a-5-6-12","Different painting techniques can result in different styles of art.","techniques","methods","materials","subjects","standards"
"b-5-6-20","In the time of the Roman Empire, the Romans conquered lands in Europe, Africa, and Asia.","conquered","defeated","protected","developed","discovered"
"b-5-6-8","The quotation used in the mayor’s speech is from yesterday’s newspaper.","quotation","passage","symbol","example","theme"
"b-5-6-13","The previous owner of this house left some furniture here for us.","previous","past","current","kind","legal"
"a-5-6-11","She acquired many gifts during her trip.","acquired","received","considered","gave","missed"
"b-5-6-10","Vitamins are an essential part of a healthy diet.","essential","necessary","major","normal","possible"
"a-5-6-14","Businesses that want to expand often borrow money from banking institutions.","institutions","companies","officers","buildings","locations"
"a-3-4-15","Birds’ nests can be surprisingly tiny or they can be extremely large.","extremely","unusually","actually","mostly","exactly"
"a-3-4-6","The children had a feeling of security only after they locked the door.","security","protection","warmth","enthusiasm","courage"
"a-3-4-7","His lack of speed made everyone assume that he would lose the race.","assume","expect","doubt","get","deny"
"b-5-6-18","The new manager wanted to make the factory more efficient.","efficient","productive","important","expensive","convenient"
"a-5-6-8","I thought I would love this book, but the conclusion was boring.","conclusion","end","middle","plot","story"
"a-3-4-5","The brothers worked to make sure their attempt to fly the plane would be a success.","attempt","effort","race","job","hope"
"a-3-4-8","Some foods and games have been showed to help people’s concentration and skill.","concentration","attention","success","courage","strength"
"b-5-6-6","Some doctors say a positive attitude is important to healing.","attitude","outlook","change","outcome","temperature"
"b-5-6-3","By not using the correct safety procedure, the sailor put the crew in danger. ","procedure","method","message","signal","stage"
"a-3-4-16","She applied a heavy coat of paint over the picture, hoping to hide her mistake.   ","applied","put on","threw on","left on","hit on"
"a-3-4-11","The poor quality of the wheels may be why the cars keep breaking down.","quality","condition","change","control","service"
"b-5-6-2","If you don’t have money for the charity, you can contribute time as a volunteer.","contribute","provide","request","receive","purchase"
"a-5-6-9","The road will be blocked off during the construction of the library.","construction","building","organization","creation","preparation"
"a-5-6-6","The manager has the authority to hire new workers when they are needed.","authority","power","budget","plan","sense"
"a-5-6-1","The conflict between the two players is starting to cause problems on the team.","conflict","disagreement","association","communication","cooperation"
"a-5-6-13","He is very critical about his own work, even when his coworkers praise him. ","critical","negative","exact","particular","careful"
"b-5-6-5","There is a potential problem with that idea.","potential","possible","minor","basic","obvious"
"b-5-6-15","When making a birdhouse, you must take precise measurements.","precise","exact","direct","various","many"
"b-5-6-14","The distribution of candy is a traditional part of Halloween in the U.S.","distribution","giving","buying","eating","collecting"
"a-5-6-18","A change in climate can have permanent effects on an area’s wildlife.","permanent","lasting","natural","harmful","limited"
"a-3-4-3","He studied every night to improve his grades.   ","improve","raise","choose","settle","learn"
"a-5-6-19","The law was approved through a vote in Congress.","approved","accepted","reversed","replaced","restricted"
"a-3-4-1","Food and other items made with natural things break down and become part of the soil.","items","objects","resources","terms","forms"
"a-5-6-7","The visiting teacher gave a formal speech before answering questions from the students.","formal","proper","brief","fine","public"
"a-5-6-10","Without sufficient darkness, it can be difficult to get to sleep.","sufficient","enough","complete","constant","normal"
"a-3-4-10","Many cities have available space where people can plant gardens.","available","free","whole","total","main"
"a-3-4-20","They had the opportunity to learn about sea life when they visited the ocean.","opportunity","chance","knowledge","place","example"
"b-5-6-7","The car's distinct color made it easy to find in a crowded parking lot.","distinct","unique","pure","bright","faded"
"a-3-4-18","Their clock needed to be accurate, if they were to be on time for the plane.","accurate","correct","careful","complete","clear"
"a-5-6-2","The university was established in 1893 and is now one of the best in the country.  ","established","started","destroyed","discovered","bought"
"b-5-6-19","The couple adopted a child who lost his parents in an accident.","adopted","selected","considered","approached","involved"
"b-5-6-19m","The family adopted a kitten that needed a new home.","adopted","selected","considered","approached","involved"
